id,name,year,count
63f627f9d8966ef293f0f1c0,Avondale,2015,0
63f627f9d8966ef293f0f1c0,Avondale,2016,0
63f627f9d8966ef293f0f1c0,Avondale,2017,0
63f627f9d8966ef293f0f1c0,Avondale,2018,0
63f627f9d8966ef293f0f1c0,Avondale,2019,0
63f627f9d8966ef293f0f1c0,Avondale,2020,0
63f627f9d8966ef293f0f1c0,Avondale,2021,0
63f627e9d8966ef293f0f18c,Bancroft,1989,20
63f627e9d8966ef293f0f18c,Bancroft,1990,20
63f627e9d8966ef293f0f18c,Bancroft,1991,21
63f627e9d8966ef293f0f18c,Bancroft,1992,19
63f627e9d8966ef293f0f18c,Bancroft,1993,20
63f627e9d8966ef293f0f18c,Bancroft,1994,19
63f627e9d8966ef293f0f18c,Bancroft,1995,20
63f627e9d8966ef293f0f18c,Bancroft,1996,20
63f627e9d8966ef293f0f18c,Bancroft,1997,19
63f627e9d8966ef293f0f18c,Bancroft,1998,19
63f627e9d8966ef293f0f18c,Bancroft,1999,20
63f627e9d8966ef293f0f18c,Bancroft,2000,19
63f627e9d8966ef293f0f18c,Bancroft,2001,18
63f627e9d8966ef293f0f18c,Bancroft,2002,16
63f627e9d8966ef293f0f18c,Bancroft,2003,19
63f627e9d8966ef293f0f18c,Bancroft,2004,16
63f627e9d8966ef293f0f18c,Bancroft,2005,16
63f627e9d8966ef293f0f18c,Bancroft,2006,17
63f627e9d8966ef293f0f18c,Bancroft,2007,17
63f627e9d8966ef293f0f18c,Bancroft,2008,18
63f627e9d8966ef293f0f18c,Bancroft,2009,16
63f627e9d8966ef293f0f18c,Bancroft,2010,15
63f627e9d8966ef293f0f18c,Bancroft,2011,16
63f627e9d8966ef293f0f18c,Bancroft,2012,16
63f627e9d8966ef293f0f18c,Bancroft,2013,16
63f627e9d8966ef293f0f18c,Bancroft,2014,16
63f627e9d8966ef293f0f18c,Bancroft,2015,16
63f627e9d8966ef293f0f18c,Bancroft,2016,16
63f627e9d8966ef293f0f18c,Bancroft,2017,16
63f627e9d8966ef293f0f18c,Bancroft,2018,15
63f627e9d8966ef293f0f18c,Bancroft,2019,17
63f627e9d8966ef293f0f18c,Bancroft,2020,19
63f627e9d8966ef293f0f18c,Bancroft,2021,16
63f627aad8966ef293f0f0ed,Bartlett,1989,12
63f627aad8966ef293f0f0ed,Bartlett,1990,13
63f627aad8966ef293f0f0ed,Bartlett,1991,13
63f627aad8966ef293f0f0ed,Bartlett,1992,12
63f627aad8966ef293f0f0ed,Bartlett,1993,13
63f627aad8966ef293f0f0ed,Bartlett,1994,12
63f627aad8966ef293f0f0ed,Bartlett,1995,13
63f627aad8966ef293f0f0ed,Bartlett,1996,12
63f627aad8966ef293f0f0ed,Bartlett,1997,12
63f627aad8966ef293f0f0ed,Bartlett,1998,12
63f627aad8966ef293f0f0ed,Bartlett,1999,12
63f627aad8966ef293f0f0ed,Bartlett,2000,12
63f627aad8966ef293f0f0ed,Bartlett,2001,10
63f627aad8966ef293f0f0ed,Bartlett,2002,11
63f627aad8966ef293f0f0ed,Bartlett,2003,11
63f627aad8966ef293f0f0ed,Bartlett,2004,9
63f627aad8966ef293f0f0ed,Bartlett,2005,11
63f627aad8966ef293f0f0ed,Bartlett,2006,11
63f627aad8966ef293f0f0ed,Bartlett,2007,10
